Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed
2020-08-05 11:19:56.283237,20.12,37.35,48,13.0272192,77.5638097,929.99,20.7,0.377772897482,0.339000016451
2020-08-05 11:19:57.285801,20.183,35.43,48,13.0272169,77.5638115,930.08,20.8,0.0892277806997,0.224000006914
2020-08-05 11:19:58.287522,20.163,35.63,48,13.0272188,77.563813,930.09,23.9,0.240773722529,0.371000021696
2020-08-05 11:19:59.290674,20.07,39.01,48,13.0272187,77.5638141,930.09,20.7,0.190810963511,0.308000028133
2020-08-05 11:20:00.298527,20.643,17.54,48,13.0272167,77.5638125,930.08,21.3,0.281175136566,0.130000010133
2020-08-05 11:20:01.303305,20.333,29.13,48,13.0272161,77.5638119,929.99,21.2,0.193342253566,0.116000004113
2020-08-05 11:20:02.306234,20.086,38.5,48,13.0272198,77.5638124,929.98,21.7,0.385741680861,0.577000021935
2020-08-05 11:20:03.309573,20.371,27.34,48,13.0272206,77.5638126,930.03,20.4,0.0795015916228,0.251000016928
2020-08-05 11:20:04.312879,20.208,33.53,48,13.0272209,77.5638089,929.98,21.9,0.382365256548,0.89200001955
2020-08-05 11:20:05.315544,20.269,31.22,48,13.027219,77.563809,930.03,21.5,0.27502733469,0.318000018597
2020-08-05 11:20:06.318618,20.319,28.88,48,13.0272196,77.5638102,930.02,21.3,0.175096765161,0.174000009894
2020-08-05 11:20:07.322776,20.212,33.2,48,13.0272191,77.5638115,929.98,21.3,0.204108849168,0.313000023365
2020-08-05 11:20:08.325512,20.029,40.62,48,13.0272213,77.5638116,929.91,21.8,0.165472656488,0.135000005364
2020-08-05 11:20:09.328556,20.069,38.35,48,13.0272223,77.5638085,929.93,20.8,0.381997674704,0.325000017881
2020-08-05 11:20:10.333976,20.094,37.12,48,13.0272227,77.5638095,929.95,22.0,0.55113607645,0.488000035286
2020-08-05 11:20:11.338001,20.177,33.93,48,13.0272183,77.5638082,929.99,20.9,0.240837022662,0.427000015974
