Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed,,
35:43.9,23.032,33.65,96,13.0271886,77.5637646,934.54,11.4,2.355153322,1.63500011,775.0268,
35:44.9,22.963,35.95,96,13.0272128,77.5637749,934.54,12.1,3.162173986,2.936000109,825.51985,
35:45.9,23.109,30.96,96,13.0272371,77.5637809,934.5,11.8,3.32937026,3.479000092,715.45464,
35:46.9,22.783,42.46,96,13.0272644,77.5637883,934.4,11.6,1.914926052,2.015000105,967.36618,
35:48.0,23.226,26.58,96,13.0272707,77.5638039,934.61,12.8,2.177616358,1.657000065,617.34708,
35:49.0,23.16,28.94,96,13.0272647,77.5638225,934.61,13.6,3.067379475,2.681000233,670.2504,
35:50.0,23.018,33.98,96,13.0272505,77.5638502,934.5,11,3.052601814,3.036000252,782.15164,
35:51.0,23.095,30.97,96,13.0272282,77.5638632,934.54,11.4,2.753515005,2.750000238,715.25215,
35:52.0,23.078,31.46,96,13.0272072,77.5638638,934.59,11.6,3.053638458,3.002000093,726.03388,
35:53.0,23.141,29.15,96,13.0271809,77.5638575,934.62,11.9,2.449846506,2.446000099,674.56015,
35:54.0,23.063,32.09,96,13.0271679,77.5638396,934.65,11.9,2.489013195,2.236999989,740.09167,
35:55.0,23.065,31.67,96,13.0271677,77.5638187,934.66,12.1,3.183203459,3.239000082,730.46855,
35:56.0,22.989,34.32,96,13.0271731,77.5637902,934.61,10.4,2.706463575,3.094000101,788.98248,
35:57.0,22.986,34.06,96,13.0271792,77.5637679,934.48,12,1.634166002,2.289000034,782.90316,
35:58.0,22.972,34.76,96,13.027185,77.5637637,934.5,11.8,1.280551076,0.856000066,798.50672,
35:59.0,23.07,30.73,96,13.0272034,77.5637675,934.52,11.8,2.840071678,2.489000082,708.9411,
36:00.1,23.156,27.56,96,13.0272346,77.563774,934.5,12,3.478627682,3.208000183,638.17936,
36:01.1,23.22,25.94,96,13.0272586,77.5637805,934.47,13.1,2.660035849,2.935000181,602.3268,
36:02.1,23.078,30.98,96,13.0272741,77.5637956,934.54,11,1.984053731,1.883000135,714.95644,
36:03.1,23.119,29.55,96,13.0272692,77.563818,934.57,11.9,2.756600857,2.261000156,683.16645,
36:04.1,22.969,34.61,96,13.0272611,77.5638405,934.54,11.6,3.11462307,3.226000071,794.95709,
36:05.1,23.017,32.58,96,13.0272424,77.5638616,934.54,11.1,2.543885231,2.639000177,749.89386,
36:06.1,23.048,31.67,96,13.0272225,77.5638652,934.55,10.9,2.923037291,2.670000076,729.93016,
36:07.1,23.002,32.92,95,13.027194,77.5638619,934.55,10.9,3.010674,3.099000216,757.22584,
36:08.1,22.956,34.51,95,13.0271726,77.563849,934.56,11.8,2.394704819,2.527000189,792.21156,
36:09.1,22.982,33.35,95,13.0271688,77.5638268,934.58,11.6,2.820416212,2.332000017,766.4497,
36:10.1,23.178,26.05,95,13.0271721,77.563806,934.57,11.1,3.037986994,2.911000252,603.7869,
36:11.1,22.864,38.04,95,13.0271777,77.5637814,934.56,11,2.241542816,2.311000109,869.74656,
36:12.1,23.029,31.61,95,13.0271849,77.5637687,934.52,11.2,2.121208906,1.921000123,,
36:13.1,23.058,30.57,95,13.027206,77.5637654,934.51,11.2,2.67734313,2.332000017,,
36:14.2,23.239,23.75,95,13.0272357,77.5637728,934.57,11.8,3.317867041,3.209000111,,
36:15.2,23.194,25.92,95,13.0272561,77.5637819,934.5,11.5,2.820900679,2.997000217,,
36:16.2,22.942,34.79,95,13.0272697,77.5637993,934.55,12.2,2.182850122,2.0400002,,
36:17.2,23.067,29.54,95,13.0272675,77.563819,934.56,10.3,3.116048813,2.863000155,,
36:18.2,22.956,33.75,95,13.0272582,77.5638485,934.48,11,2.803483248,2.998000145,,
36:19.2,22.939,34.31,95,13.0272441,77.5638622,934.51,11.7,2.56824851,2.522000074,,
36:20.2,23.093,28.51,95,13.027218,77.5638652,934.46,11.3,3.067867994,2.856000185,,
36:21.2,22.932,34.27,95,13.0271931,77.5638622,934.48,12.8,2.50473547,2.971000195,,
36:22.2,22.641,44.9,95,13.0271753,77.563852,934.5,11.2,1.937763691,1.624000072,,
36:23.2,22.982,32.37,95,13.0271693,77.5638351,934.55,11.4,2.498688459,2.188000202,,
36:24.2,22.921,33.74,95,13.0271695,77.5638075,934.57,12.1,3.061486006,2.884000063,,
36:25.2,23.058,29.7,95,13.0271747,77.5637784,934.45,11.4,2.642540455,3.118000031,,
36:26.2,23.141,26.77,95,13.0271826,77.5637677,934.47,11.7,1.7003932,1.234000087,,
36:27.2,22.945,33.64,95,13.0272007,77.5637687,934.48,12.2,2.723402023,2.328000069,,
36:28.2,23.444,15.67,95,13.0272268,77.563774,934.53,10.8,3.375195742,3.193000078,,
36:29.2,23.151,26.59,95,13.0272556,77.5637835,934.41,10.7,2.960030556,2.849000216,,
36:30.3,23.014,31.39,95,13.0272674,77.5637936,934.57,10.3,2.114882231,2.062000036,,
36:31.3,23.029,31.37,95,13.0272673,77.5638166,934.7,12.5,3.434817076,2.751000166,,
36:32.3,22.887,35.87,95,13.0272603,77.5638513,934.51,10.9,3.480770111,3.771000147,,
36:33.3,22.956,32.99,95,13.0272459,77.5638664,934.57,11.9,1.837223053,1.821000099,,
36:34.3,23.11,26.97,94,13.027231,77.5638668,934.65,11,2.455800295,2.042999983,,
36:35.3,22.904,34.79,94,13.027204,77.5638637,934.59,11.3,2.855187893,2.762000084,,
36:36.3,22.9,34.41,94,13.0271851,77.5638568,934.51,12.2,2.232558727,2.517000198,,
36:37.3,22.675,42.07,94,13.027173,77.5638422,934.38,11.3,2.014391422,2.100000143,,
36:38.3,22.638,43.55,94,13.0271731,77.5638141,934.35,11.5,3.213118076,2.9150002,,
36:39.3,23.022,29.68,94,13.0271782,77.5637817,934.45,11.8,2.979953766,3.308000088,,
36:40.3,22.99,31.13,94,13.0271805,77.5637677,934.47,11,1.279275179,1.761000037,,
36:41.3,22.823,36.56,94,13.0271829,77.5637628,934.46,11.2,1.155647516,0.141000003,,
36:42.3,23.067,27.84,94,13.0271885,77.5637712,934.59,11.7,2.392998695,2.053000212,,
36:43.4,22.862,35.14,94,13.0272145,77.5637802,934.51,11.3,3.817106724,3.229000092,,
36:44.4,22.807,37.44,94,13.0272531,77.5637827,934.51,11.5,3.431758642,3.628000259,,
36:45.4,22.803,37.51,94,13.0272716,77.5637831,934.53,12.8,1.050379515,2.1650002,,
36:46.4,22.922,33.06,94,13.0272719,77.5637888,934.63,11.5,1.366356611,0.626000047,,
36:47.4,22.953,31.49,94,13.0272656,77.5638055,934.62,12.2,2.499995708,2.10800004,,
36:48.4,22.908,33.15,94,13.0272574,77.5638343,934.53,12.2,3.127749205,3.082000256,,
36:49.4,22.934,32.04,94,13.0272491,77.5638568,934.48,11.1,2.662715435,2.924000025,,
36:50.4,22.583,44.06,94,13.0272303,77.5638717,934.55,10.9,2.207261324,2.234000206,,
